search_term,video_id,url,title,category,view_count,comment_count
airline ruined vacation,SrED0SJwfPk,https://www.youtube.com/watch?v=SrED0SJwfPk,Psycho Karen Snaps at Airport Burger King Over Ruined Vacation | Karens Getting Arrested By Police,LEVEL_1_AWARE,14582,196
airline ruined vacation,9FJYWzLnDrw,https://www.youtube.com/watch?v=9FJYWzLnDrw,"My Family And Sister Said, &#39;You Ruined Our Vacation!&#39; Because I Boarded a Secret Flight to Sedona",LEVEL_1_AWARE,16,0
flight cancelled no refund,xd20cI7dWNM,https://www.youtube.com/watch?v=xd20cI7dWNM,Indigo Flight Canceled Refund News: हजारों यात्री फंसे! रिफंड कैसे मिलेगा?| DGCA New Rules Explained,LEVEL_1_AWARE,29867,25
flight cancelled no refund,TELqXTcB90s,https://www.youtube.com/watch?v=TELqXTcB90s,How to Cancel IndiGo Flight Ticket with 100% Refund | IndiGo Flight Cancellation Charges,LEVEL_1_AWARE,10282,38
flight cancelled no refund,z4XU_-Wcwzo,https://www.youtube.com/watch?v=z4XU_-Wcwzo,DGCA To Introduce New Option To Cancel Or Reschedule Flights With Full Refund Soon?,LEVEL_1_AWARE,4473,0
flight cancelled no refund,P4FZMZCJP8I,https://www.youtube.com/watch?v=P4FZMZCJP8I,#indigocrisis: Sorry For Hardships Caused: IndiGo Offers Full Refunds For Flights Cancelled | News18,LEVEL_2_FRUSTRATED,2105,7
flight cancelled no refund,iMEliTH4B1M,https://www.youtube.com/watch?v=iMEliTH4B1M,No Stay or Food Given - Stranded Indigo Passengers Say Flights Cancelled Without Warning,LEVEL_3_CRISIS,87005,82
flight cancelled no refund,sG-9ygZj28k,https://www.youtube.com/watch?v=sG-9ygZj28k,Indigo flight cancel? Get 100% refund! #cameenalgoel #moneytips #finance #indigo,LEVEL_2_FRUSTRATED,8050,10
flight cancelled no refund,X3hBnpJ4Qmw,https://www.youtube.com/watch?v=X3hBnpJ4Qmw,Indigo Flight Cancellation का Real Reason ?,LEVEL_2_FRUSTRATED,381335,200
flight cancelled no refund,b68WM7XUbVc,https://www.youtube.com/watch?v=b68WM7XUbVc,"Massive Chaos At Airports As Indigo Flights Get Cancelled, Delayed After New Rules Kick In | Watch",LEVEL_2_FRUSTRATED,84570,102
airline travel disaster 2025,vCT7fCtn6BY,https://www.youtube.com/watch?v=vCT7fCtn6BY,Chilling images of UPS plane breaking up before deadly crash released by NTSB,LEVEL_1_AWARE,257652,369
airline travel disaster 2025,PNTmwumZ1rY,https://www.youtube.com/watch?v=PNTmwumZ1rY,"US North Carolina Plane Crash BREAKING: Many DEAD As Cessna Citation II Jet Goes Down, HUGE BLAST",LEVEL_1_AWARE,13839,11
airline travel disaster 2025,_scvToeBQng,https://www.youtube.com/watch?v=_scvToeBQng,Southern Airways 242 Lost Both Engines Over Georgia | Mayday: Science of Disaster,LEVEL_1_AWARE,9922,3
airline travel disaster 2025,shBAgMGYuZY,https://www.youtube.com/watch?v=shBAgMGYuZY,2025 Plane Disasters Part 2 #aviation #2025 #planecrash,LEVEL_1_AWARE,1171,2
airline travel disaster 2025,xXg85qmuuzs,https://www.youtube.com/watch?v=xXg85qmuuzs,2025 Plane Disasters Part 1| #aviation #2025 #planecrash,LEVEL_1_AWARE,1004,1
airline travel disaster 2025,4-hqz9r1t1c,https://www.youtube.com/watch?v=4-hqz9r1t1c,2020 to 2025 and the worst airplane disaster ￼,LEVEL_1_AWARE,19,1
airline travel disaster 2025,Wm1_UJCvRkg,https://www.youtube.com/watch?v=Wm1_UJCvRkg,The Pilot&#39;s Nightmare From Hell 🇳🇴 The Bizzare Case of Braathens Flight 239 🇫🇮 ?,LEVEL_1_AWARE,108285,1118
airline travel disaster 2025,ywrOFzmmgzw,https://www.youtube.com/watch?v=ywrOFzmmgzw,"3 killed, 11 injured after UPS plane crashes in Louisville",LEVEL_1_AWARE,82252,122
airline travel disaster 2025,fQCmUSRVsFQ,https://www.youtube.com/watch?v=fQCmUSRVsFQ,Plane Crashes in 2025 (As of September 2025) #planecrash #edit #aviation #2025 #airplane,LEVEL_1_AWARE,12335,26
airline travel disaster 2025,eRw9YN1LN8Q,https://www.youtube.com/watch?v=eRw9YN1LN8Q,No One Noticed 😮 Greg Biffle’s Wife Hinted at the Plane Crash Truth in Her Final Message #shorts,LEVEL_1_AWARE,9147,44
